NUTS3ID;County;GDP;EMPLOYMENT;GROSS VALUE ADDED AT BASIC PRICES;NOMINAL LABOUR PRODUCTIVITY;
AT111;Mittelburgenland;1061,05;14,3;949;74200;
AT112;Nordburgenland;5640,67;71,9;5045;78500;
AT113;Südburgenland;2785,11;39,8;2491;70000;
AT121;Mostviertel-Eisenwurzen;8823,82;109,5;7892;81400;
AT122;Niederösterreich-Süd;8570,01;108,4;7665;78300;
AT123;Sankt Pölten;7242,86;86,9;6478;83300;
AT124;Waldviertel;7368,09;97,1;6590;75900;
AT125;Weinviertel;3434,71;40,4;3072;85000;
AT126;Wiener Umland/Nordteil;10831,87;119,4;9688;90700;
AT127;Wiener Umland/Südteil;17702,42;180;15833;98300;
AT130;Wien;102720,52;1070,9;91873;95900;
AT211;Klagenfurt-Villach;13459,34;153,3;12038;87800;
AT212;Oberkärnten;3630,38;49,7;3247;73000;
AT213;Unterkärnten;5082,75;64,1;4546;79300;
AT221;Graz;23975,91;125,4;21444;83700;
AT222;Liezen;3000,9;81,3;2684;78800;
AT223;Östliche Obersteiermark;6223,18;71,5;5566;87000;
AT224;Oststeiermark;8965,81;286,6;8019;71500;
AT225;West- und Südsteiermark;6370,77;38,1;5698;78400;
AT226;Westliche Obersteiermark;3326,26;42,5;2975;78300;
AT311;Innviertel;12145,6;137,2;10863;88500;
AT312;Linz-Wels;34818,96;381,8;31142;91200;
AT313;Mühlviertel;6594,38;79,5;5898;82900;
AT314;Steyr-Kirchdorf;7122,11;76,7;6370;92900;
AT315;Traunviertel;9811,07;111,4;8775;88100;
AT321;Lungau;675,31;9,3;604;72600;
AT322;Pinzgau-Pongau;6738,61;84,7;6027;79600;
AT323;Salzburg und Umgebung;22093,08;218,2;19760;101300;
AT331;Außerfern;1502,69;16,8;1344;89400;
AT332;Innsbruck;14787,6;181,2;13226;81600;
AT333;Osttirol;1811,27;24,4;1620;74200;
AT334;Tiroler Oberland;3803,68;49,6;3402;76700;
AT335;Tiroler Unterland;12420,65;133,5;11109;93000;
AT341;Bludenz-Bregenzer Wald;4356;46,1;3896;94500;
AT342;Rheintal-Bodenseegebiet;16205,32;151,4;14494;107000;
CZ010;Hlavní m?sto Praha;66974,19;967,36;60857,88;69200;
CZ020;St?edo?eský kraj;26542,6;307,72;24118,64;43500;
CZ031;Jiho?eský kraj;11338;610,57;10302,57;36800;
CZ032;Plze?ský kraj;11587,16;295,9;10528,98;39200;
CZ041;Karlovarský kraj;3897,72;122,23;3541,77;31900;
CZ042;Ústecký kraj;12608,94;361,63;11457,45;34900;
CZ051;Liberecký kraj;7265,41;203,27;6601,91;35700;
CZ052;Královéhradecký kraj;10919,99;260,87;9922,74;41900;
CZ053;Pardubický kraj;9201,98;252,99;8361,62;36400;
CZ063;Kraj Vyso?ina;9147,73;242,29;8312,32;37800;
CZ064;Jihomoravský kraj;25938,4;605,88;23569,62;42800;
CZ071;Olomoucký kraj;11151,72;300,54;10133,31;37100;
CZ072;Zlínský kraj;10895,05;278,61;9900,08;39100;
CZ080;Moravskoslezský kraj;20780,59;547,83;18882,84;37900;
;;;;;;
;;;;;;
